opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

opt_level = O0
keep_batchnorm_fp32 = None <class 'NoneType'>
loss_scale = None <class 'NoneType'>

CUDNN VERSION: 7501

=> creating model 'resnet50'
=> creating model 'resnet50'
=> creating model 'resnet50'
=> creating model 'resnet50'
=> creating model 'resnet50'
=> creating model 'resnet50'
=> creating model 'resnet50'
=> creating model 'resnet50'
Epoch: [0][10/1251]	Time 1.712 (1.712)	Speed 598.047 (598.047)	Loss 7.1035885811 (7.1036)	Prec@1 0.195 (0.195)	Prec@5 0.293 (0.293)
Epoch: [0][20/1251]	Time 0.671 (1.192)	Speed 1526.224 (859.357)	Loss 7.0282359123 (7.0659)	Prec@1 0.000 (0.098)	Prec@5 0.879 (0.586)
Epoch: [0][30/1251]	Time 0.818 (1.067)	Speed 1252.498 (959.777)	Loss 7.1170349121 (7.0830)	Prec@1 0.000 (0.065)	Prec@5 0.488 (0.553)
Epoch: [0][40/1251]	Time 0.800 (1.000)	Speed 1279.314 (1023.700)	Loss 7.1499652863 (7.0997)	Prec@1 0.000 (0.049)	Prec@5 0.586 (0.562)
Epoch: [0][50/1251]	Time 0.815 (0.963)	Speed 1256.919 (1063.153)	Loss 7.1690478325 (7.1136)	Prec@1 0.195 (0.078)	Prec@5 0.684 (0.586)
Epoch: [0][60/1251]	Time 0.767 (0.930)	Speed 1334.972 (1100.499)	Loss 7.1801114082 (7.1247)	Prec@1 0.098 (0.081)	Prec@5 0.293 (0.537)
Epoch: [0][70/1251]	Time 0.920 (0.929)	Speed 1113.150 (1102.289)	Loss 7.1777572632 (7.1322)	Prec@1 0.000 (0.070)	Prec@5 0.488 (0.530)
Epoch: [0][80/1251]	Time 0.762 (0.908)	Speed 1342.998 (1127.550)	Loss 7.2264719009 (7.1440)	Prec@1 0.000 (0.061)	Prec@5 0.684 (0.549)
Epoch: [0][90/1251]	Time 0.799 (0.896)	Speed 1281.476 (1142.803)	Loss 7.2612566948 (7.1571)	Prec@1 0.293 (0.087)	Prec@5 1.270 (0.629)
Epoch: [0][100/1251]	Time 0.764 (0.883)	Speed 1340.198 (1159.886)	Loss 7.2702112198 (7.1684)	Prec@1 0.098 (0.088)	Prec@5 0.977 (0.664)
Epoch: [0][110/1251]	Time 0.832 (0.878)	Speed 1231.133 (1166.021)	Loss 7.2978882790 (7.1801)	Prec@1 0.000 (0.080)	Prec@5 0.684 (0.666)
